fold_id,params,vol_threshold,direction_threshold,coverage,validation_macro_f1,test_accuracy,test_macro_f1,test_precision_macro,test_recall_macro,test_f1_bull,test_f1_bear,test_precision_bull,test_recall_bull,test_bull_prediction_rate
1,"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 15, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.325,0.475,0.2713936430317848,0.5359669811320755,0.5345345345345346,0.5344673635601094,0.5417821709950394,0.5420212765957446,0.5400593471810089,0.5288753799392097,0.610738255033557,0.48404255319148937,0.44744744744744747
1,"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.325,0.475,0.2713936430317848,0.5081035510269343,0.5435435435435435,0.5395531620697184,0.539989866821077,0.5405355832721936,0.5824175824175825,0.4966887417218543,0.6022727272727273,0.5638297872340425,0.5285285285285285
1,"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.325,0.475,0.2713936430317848,0.5146053991216739,0.5405405405405406,0.5372689705281323,0.5380780346820809,0.5386647101980925,0.5761772853185596,0.49836065573770494,0.6011560693641619,0.5531914893617021,0.5195195195195195
1,"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.325,0.475,0.2713936430317848,0.5055135330706995,0.5555555555555556,0.5526143790849674,0.5534811497905532,0.5543286867204695,0.5888888888888889,0.5163398692810458,0.6162790697674418,0.5638297872340425,0.5165165165165165
1,"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.325,0.475,0.2713936430317848,0.5056380991136323,0.5435435435435435,0.5400552486187845,0.5407178486228583,0.5413242846661775,0.580110497237569,0.5,0.603448275862069,0.5585106382978723,0.5225225225225225
1,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 15, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.325,0.45,0.2713936430317848,0.5102315310492506,0.5735735735735735,0.5467563837129055,0.5578943015466049,0.5513573000733676,0.6570048309178744,0.4365079365079365,0.6017699115044248,0.723404255319149,0.6786786786786787
1,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 15, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.325,0.45,0.2713936430317848,0.5142684594045739,0.5615615615615616,0.5394278135657447,0.5459912245712006,0.5422964049889949,0.6403940886699507,0.43846153846153846,0.5963302752293578,0.6914893617021277,0.6546546546546547
1,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 15, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.325,0.45,0.2713936430317848,0.5128646948608138,0.5705705705705706,0.5367305840119079,0.5529743812418584,0.5447542186353631,0.6619385342789598,0.411522633744856,0.5957446808510638,0.7446808510638298,0.7057057057057057
1,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 15, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.325,0.45,0.2713936430317848,0.5122604333539915,0.5645645645645646,0.5419445419445419,0.5490867579908676,0.54495597945708,0.6437346437346437,0.44015444015444016,0.5981735159817352,0.6968085106382979,0.6576576576576577
1,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.325,0.45,0.2713936430317848,0.4806457331967536,0.5945945945945946,0.5758522110785081,0.5828143476547103,0.5770726338958181,0.6650124069478908,0.4866920152091255,0.6232558139534884,0.7127659574468085,0.6456456456456456
