label_quantile,target_high_rate,target,model,params,fold_id,chosen_threshold,validation_selected_macro_f1,validation_accuracy,validation_macro_f1,validation_f1_high,validation_f1_low,validation_precision_macro,validation_recall_macro,validation_auc_roc,validation_mcc,test_accuracy,test_macro_f1,test_f1_high,test_f1_low,test_precision_macro,test_recall_macro,test_auc_roc,test_mcc
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.03, ""class_weight"": ""balanced""}",0,0.475,0.6004911656964945,0.85,0.6004911656964945,0.2847682119205298,0.9162141194724592,0.5899929182328267,0.6180449695121951,0.6469190644054877,0.2061379275059056,0.6986111111111111,0.6984429977360064,0.6913229018492176,0.7055630936227951,0.7022327415868199,0.7037882112037444,0.7904929062454291,0.4060179732711699
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.03, ""class_weight"": ""balanced""}",1,0.525,0.7191650853889943,0.7430555555555556,0.7191650853889943,0.8010752688172043,0.6372549019607843,0.7318753533069531,0.7136462775480973,0.8018754679514306,0.44514854190115194,0.7027777777777777,0.6493711300089433,0.5125284738041003,0.7862137862137862,0.6501629782123863,0.6486343907569209,0.7524220517081719,0.29879345897019116
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.03, ""class_weight"": ""balanced""}",2,0.675,0.752012049638111,0.7756944444444445,0.752012049638111,0.6753768844221105,0.8286472148541114,0.758347422961549,0.7475334448160535,0.8201170568561873,0.5057652719000079,0.7722222222222223,0.6422295209123632,0.42657342657342656,0.8578856152512998,0.7018186471312721,0.6274816872947714,0.6935034099520081,0.32080013506133465
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.03, ""class_weight"": ""balanced""}",3,0.525,0.5942265795206971,0.7930555555555555,0.5942265795206971,0.3101851851851852,0.8782679738562091,0.591275720164609,0.5977643781515568,0.6843016718188621,0.1889287063654279,0.7597222222222222,0.6265067466266866,0.40344827586206894,0.8495652173913043,0.6333098307816277,0.6214721674085631,0.7127770639254738,0.25450684927453804
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.03, ""class_weight"": ""balanced""}",4,0.725,0.7355769230769231,0.8777777777777778,0.7355769230769231,0.5416666666666666,0.9294871794871795,0.8483231707317074,0.6929898648648649,0.8197648331925674,0.5185473619595936,0.7895833333333333,0.5818186174673535,0.28705882352941176,0.8765784114052954,0.6599508768851935,0.5739204966641956,0.7579022655670867,0.21747320075105459
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.03, ""class_weight"": ""balanced""}",5,0.5,0.6515625,0.6902777777777778,0.6515625,0.5354166666666667,0.7677083333333333,0.6478929414851745,0.6591158037377901,0.7175337360962113,0.3068035479036023,0.6958333333333333,0.6914309868415903,0.6545741324921136,0.728287841191067,0.6906698857572735,0.6936482145783278,0.7917985307560034,0.38430655966688754
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.03, ""class_weight"": ""balanced""}",6,0.625,0.7825352303065121,0.8013888888888889,0.7825352303065121,0.718503937007874,0.8465665236051502,0.7830488104205635,0.7820366856419987,0.8256904912502635,0.5650845896533586,0.8680555555555556,0.6894917470174865,0.4540229885057471,0.9249605055292259,0.8470982142857142,0.6495911495911496,0.7271290951846507,0.45573159160205334
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.03, ""class_weight"": ""balanced""}",7,0.3,0.5490316910301353,0.7201388888888889,0.5490316910301353,0.27124773960216997,0.8268156424581006,0.5479650585666072,0.5707105394605395,0.5880994005994006,0.11647549384314554,0.6958333333333333,0.5936909752911135,0.38997214484679665,0.7974098057354302,0.5985106382978724,0.673801408429556,0.7177585249027764,0.2616966769484456
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.03, ""class_weight"": ""balanced""}",8,0.575,0.6126661198941816,0.8020833333333334,0.6126661198941816,0.3418013856812933,0.8835308541070699,0.6116197143594404,0.6137617965879465,0.6175542376240644,0.22537133127497253,0.7694444444444445,0.7148684916800858,0.5901234567901235,0.8396135265700483,0.7175943256108253,0.7124231700502888,0.8146037613962952,0.4299864017905971
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.1, ""class_weight"": ""balanced""}",0,0.5,0.6008518405841192,0.8576388888888888,0.6008518405841192,0.2807017543859649,0.9210019267822736,0.5930939130521121,0.6116615853658536,0.645460175304878,0.20391188213843525,0.7131944444444445,0.7115416795402283,0.6897069872276483,0.7333763718528082,0.7112059298899552,0.7130466578908878,0.7880161864365463,0.4242485945282182
