,sol_ret,btc_ret,eth_ret
sol_ret,1.0,0.7286011184616685,0.7401798761372574
btc_ret,0.7286011184616685,1.0,0.8414896168915909
eth_ret,0.7401798761372574,0.8414896168915909,1.0
