par,pearson_retornos_1h,spearman_retornos_1h,rolling_corr_168h_media,rolling_corr_168h_mediana,rolling_beta_168h_media,rolling_beta_168h_mediana,lag_max_corr_horas,lag_max_corr_valor
SOL-BTC,0.7286011184616685,0.7209633040819448,0.7471777381596624,0.7714488863932583,1.4722884678091561,1.427579753504609,0.0,0.7286011184616719
SOL-ETH,0.7401798761372574,0.7381878839843361,0.7636340654190374,0.7891727805482464,1.1518836611364827,1.0726448992790258,0.0,0.740179876137267
BTC-ETH,0.8414896168915909,0.8151646458322108,,,,,,
