,sol_ret,btc_ret,eth_ret
sol_ret,1.0,0.7209633040819448,0.7381878839843361
btc_ret,0.7209633040819448,1.0,0.8151646458322108
eth_ret,0.7381878839843361,0.8151646458322108,1.0
