label_quantile,target_high_rate,model,params,mean_threshold,mean_validation_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_high,mean_test_f1_low,mean_test_precision_macro,mean_test_recall_macro,mean_test_auc_roc,mean_test_mcc,folds
0.5,0.40614796293572586,LogisticRegression,"{""C"": 0.3, ""class_weight"": ""balanced""}",0.4833333333333333,0.6695675733005751,0.6848765432098766,0.05323809876697663,0.6596751743381627,0.05747452757614913,0.606099810951132,0.7132505377251935,0.6801524985969895,0.6642932455881895,0.7328209342798557,0.3403977832912369,9
0.5,0.40614796293572586,LogisticRegression,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.4972222222222222,0.6689538381245728,0.6952160493827161,0.046183746292816394,0.6666574223608531,0.053311655348926186,0.6049476491865016,0.7283671955352047,0.6891391168932812,0.6703217136704147,0.7351139722243474,0.35639362186255474,9
0.5,0.40614796293572586,LogisticRegression,"{""C"": 0.03, ""class_weight"": ""balanced""}",0.48888888888888893,0.6679713764541106,0.6872685185185186,0.05110894092614902,0.6631012991204122,0.05640825704755589,0.6083550696493786,0.7178475285914457,0.6813184163960702,0.6682769873998297,0.734111479179101,0.3465679162203577,9
0.5,0.40614796293572586,LogisticRegression,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.4833333333333333,0.6679335173099615,0.6881172839506173,0.056046490185125176,0.662182502509642,0.05931679157102869,0.6068453352295955,0.7175196697896884,0.6808151073437414,0.6654475775546257,0.7319197475073073,0.3431513364488923,9
0.5,0.40614796293572586,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.4138888888888889,0.667568486989244,0.6839506172839506,0.048956417964459334,0.6517566492894074,0.05804985589803739,0.6016691087865291,0.7018441897922857,0.6805911894748253,0.6595016958453922,0.7519675595600428,0.3372527550553314,9
0.5,0.40614796293572586,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.41111111111111115,0.6674068967372521,0.6810956790123457,0.04512523535195438,0.6469548278555357,0.06043647013722954,0.5939256753334069,0.6999839803776644,0.679253138988996,0.6569774775909456,0.7513019075764695,0.3332454316509915,9
0.5,0.40614796293572586,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.4166666666666667,0.6673252859803783,0.685570987654321,0.05903469912217576,0.6520547171552465,0.07021533038546186,0.6015799440544048,0.7025294902560882,0.6789488394176334,0.6580200735688216,0.7498807446747912,0.3337970077402671,9
0.5,0.40614796293572586,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.4194444444444445,0.6669075901975735,0.6835648148148148,0.04642271512889215,0.6470241159020421,0.06535259988439822,0.5879648531583554,0.7060833786457288,0.6799277844708939,0.6566860657859849,0.7510824929659597,0.33354665851551907,9
0.67,0.24944844830122076,LogisticRegression,"{""C"": 0.03, ""class_weight"": ""balanced""}",0.5472222222222222,0.666363038283561,0.7502314814814814,0.05831886394619938,0.6542056903979588,0.047570599474174614,0.4899582915836673,0.8184530892122504,0.6890386820609984,0.6560845439975019,0.7509319566264329,0.33659031637069686,9
0.5,0.40614796293572586,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.4305555555555556,0.6660842259418358,0.6891203703703703,0.046632603722484484,0.6492711516743351,0.07365685030350806,0.5840343341337499,0.7145079692149204,0.690226300790633,0.6604119546278071,0.7562473981583001,0.3441154255764448,9
0.5,0.40614796293572586,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.41944444444444445,0.6659920096183165,0.6881944444444444,0.04333049536647028,0.6541414338940111,0.055528066412012925,0.5988621058996404,0.7094207618883819,0.6836385363676657,0.660779199619277,0.7542818946164311,0.3413537370655122,9
0.5,0.40614796293572586,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.4166666666666667,0.6650650629454333,0.6875771604938271,0.04914077075760594,0.6541655983830361,0.05929644499507459,0.6007134521883403,0.7076177445777321,0.6833545433904565,0.6609158508838221,0.7552685892419234,0.34151227494198844,9
0.5,0.40614796293572586,SVM,"{""C"": 0.3, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",0.5138888888888888,0.6645885868525536,0.698533950617284,0.04632059547499093,0.6662691823539573,0.0557017994604282,0.606154389177314,0.7263839755306006,0.6950832766834566,0.6719230196293283,0.7473004454542591,0.3647262614469298,9
