params,folds,mean_coverage,mean_validation_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_precision_macro,mean_test_recall_macro,mean_test_f1_bull,mean_test_f1_bear,mean_test_precision_bull,mean_test_recall_bull,mean_test_bull_prediction_rate
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6101982865364255,0.6082070136764053,0.13774211007607162,0.5623857071520526,0.1413938869670535,0.5870176488781368,0.5753517118670182,0.6314970659310335,0.4932743483730716,0.5923916494222844,0.6982339954221508,0.6363419076097582
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6098135109633973,0.604576707091011,0.12928597327543317,0.5380366464113708,0.14722392360126166,0.5604491529507627,0.5665935131404684,0.6017223052129073,0.4743509876098344,0.567982569759794,0.6890974221119996,0.6433199418965309
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6097821818263507,0.605055041093614,0.14293462987106653,0.5434906980798514,0.15900195714726703,0.5637821041057091,0.5678134214707055,0.581339307235844,0.5056420889238586,0.5712257993166245,0.6371886341422315,0.5915700001329512
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.609348028024102,0.594260781064148,0.13072298377927555,0.5144882325829317,0.15854211613432742,0.5254516843556252,0.5531501986232006,0.5823854929560417,0.44659097220982186,0.5216345097886115,0.6760350000251254,0.6435160431651965
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6092402215230488,0.5997002803775462,0.13852661980121928,0.5461882707208608,0.1486199668390501,0.5707661626553414,0.5655589007091676,0.5944730152321491,0.4979035262095727,0.5765611524461909,0.6544226156634932,0.6084020341615219
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6089620176039913,0.5982820231671018,0.1232639654097369,0.5394043347294318,0.1388520437965645,0.5530009196394897,0.5621957246202504,0.5863390778304544,0.49246959162840925,0.5590588290422748,0.6477475481427828,0.6045498286842065
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6087807506022264,0.6056984604177383,0.1422825452718242,0.5609270544476247,0.14523144101049798,0.5898114401693402,0.5769782467880826,0.625570577900841,0.49628353099440836,0.6026961589914925,0.6898788651293652,0.6289358225273313
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6082891294685657,0.5981120465607339,0.13566854726623345,0.5458475924633487,0.14557486862936675,0.5686280529096478,0.5704869001353583,0.5776378773110925,0.5140573076156049,0.5963969868033628,0.6183705959482568,0.5664996329048263
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6077963583113333,0.6018540059136017,0.12800984102239016,0.5642380547262704,0.13002428177011122,0.5795916117694038,0.5791283980264293,0.6352836047281489,0.493192504724392,0.6013476806846192,0.6916555870314378,0.6224621032168395
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6075675319222575,0.6004275158290403,0.13297305599756468,0.5334263955992236,0.15221755716195506,0.5407989860908923,0.5576259584446778,0.5750954638084761,0.491757327389971,0.52355367930551,0.6473883367426351,0.609988985116267
