timestamp,corr_sol_btc_168h,corr_sol_eth_168h,beta_sol_btc_168h,beta_sol_eth_168h
2022-01-08 00:00:00+00:00,0.8273237672857308,0.8455366747117016,1.261467359208444,1.0072179831553618
2022-01-08 01:00:00+00:00,0.82699759307326,0.8447204732676499,1.261182748137941,1.0049280454861225
2022-01-08 02:00:00+00:00,0.8269912866634576,0.8444076095869961,1.2613039379082487,1.0045804127021252
2022-01-08 03:00:00+00:00,0.8270400524911096,0.8446268815345902,1.2612799280520195,1.0047578509276875
2022-01-08 04:00:00+00:00,0.8255956610503355,0.8440609077814047,1.2645756586379362,1.007959505755813
2022-01-08 05:00:00+00:00,0.824229046751273,0.8418321052698209,1.2698613203216336,1.0054875358461655
2022-01-08 06:00:00+00:00,0.8184213546711788,0.8387396850059947,1.2695542874254009,1.008748422026429
2022-01-08 07:00:00+00:00,0.8175316369774489,0.8377425307530852,1.271438567126196,1.0081191228026685
2022-01-08 08:00:00+00:00,0.8165264731648696,0.8356996614865152,1.2738573452565438,1.0093389278187346
2022-01-08 09:00:00+00:00,0.8174614881391132,0.83663387000202,1.2758270214130578,1.0094238535261038
2022-01-08 10:00:00+00:00,0.8163727692483925,0.8360908920583153,1.2735853018676353,1.0090812564499683
2022-01-08 11:00:00+00:00,0.8162429941812647,0.836338870674599,1.2734748666108107,1.0094014620025267
2022-01-08 12:00:00+00:00,0.814669308015889,0.8360446917519471,1.2760807105766179,1.009991715125462
2022-01-08 13:00:00+00:00,0.8147747402535467,0.8359754909237636,1.2764751837711934,1.010244489090595
2022-01-08 14:00:00+00:00,0.8141474715715581,0.8367434930713633,1.2813054586256563,1.0146404903780557
2022-01-08 15:00:00+00:00,0.810395863777919,0.8323898430526507,1.278173849593301,1.0107369467693677
2022-01-08 16:00:00+00:00,0.8077147105183006,0.8311400737739366,1.293523080277444,1.0232458861295
2022-01-08 17:00:00+00:00,0.8076002407124973,0.8421517203255499,1.3421224381358836,1.045177767674784
2022-01-08 18:00:00+00:00,0.8094933381738608,0.8440600686771151,1.3499914569639153,1.0473604506059098
2022-01-08 19:00:00+00:00,0.8184405682356906,0.8481997620049299,1.366879293436503,1.0517218945627622
2022-01-08 20:00:00+00:00,0.8170280796001194,0.8430041152088098,1.3750192614145187,1.0553826479231438
2022-01-08 21:00:00+00:00,0.8280211323924683,0.8344268679375122,1.4397848625931142,1.0998560762704537
