feature_group,n_features,mean_test_accuracy,mean_test_macro_f1,mean_test_precision_macro,mean_test_recall_macro
ALL_FEATURES,114,0.7739197530864197,0.6587247182714344,0.7198621062709751,0.6646450353935941
SOL_ALL,43,0.7753858024691358,0.655518223351239,0.7074961962642705,0.6530013256530085
SOL_ALL_PLUS_REL,43,0.7753858024691358,0.655518223351239,0.7074961962642705,0.6530013256530085
ALL_ASSETS_NO_REL,109,0.7704475308641975,0.652896450206869,0.7031893104526445,0.6522825225320056
ALL_NO_TEMPORAL,109,0.7704475308641975,0.652896450206869,0.7031893104526445,0.6522825225320056
SOL_RET_VOL,33,0.7736111111111111,0.6518126311995424,0.7032907630683596,0.6528077204041068
TECHNICAL_ALL_ASSETS,32,0.7400462962962963,0.6495077234200692,0.6732671032626115,0.655931256943053
SOL_VOL_ETH_VOL,59,0.7644290123456791,0.6468336406338353,0.6991809514678571,0.6501445194322097
SOL_VOL_ONLY,15,0.7540895061728395,0.6458699019684878,0.6580329941958726,0.658085798898099
SOL_ALL_PLUS_EXOG_RET_VOL,93,0.7674382716049383,0.6434505007818073,0.6996977996616736,0.6480489881185818
VOL_CORE_ALL_ASSETS,41,0.7466820987654321,0.6425350343637023,0.6662924674569558,0.6488738092090302
SOL_VOL_BTC_VOL,59,0.7597222222222223,0.6397688823777363,0.6848029371807995,0.6497341258999821
RET_VOL_ALL_ASSETS,85,0.7582561728395061,0.6395178641236625,0.6913043883941609,0.6507872104377479
MINIMAL_SOL_EXOG_VOL,27,0.7364197530864198,0.6266811755510105,0.6587426880455395,0.6337178511336048
